"","seqnames","start","end","width","strand","Conc","Conc_KO","Conc_WT","Fold","p.value","FDR"
"13318","chr4",73540990,73541390,401,"*",6.81679703028502,0,7.81679703028502,-6.42826270307506,8.48093335276492e-08,0.000357264729947701
"11197","chr21",40381084,40381484,401,"*",6.55084999477179,0,7.55084999477179,-6.33866549527743,1.04230175643087e-07,0.000357264729947701
"10266","chr2",207091149,207091549,401,"*",5.81216929718343,0,6.81216929718343,-6.13002408600773,1.34132977130719e-07,0.000357264729947701
"5191","chr13",50091891,50092291,401,"*",5.95924098074639,0,6.95924098074639,-6.16135750407218,1.3732783012317e-07,0.000357264729947701
"7018","chr16",59274127,59274527,401,"*",6.45043487269887,0,7.45043487269887,-6.25971902544143,1.42465144205576e-07,0.000357264729947701
"17725","chr8",42131179,42131579,401,"*",5.91735737988509,0,6.91735737988509,-6.1186520130307,1.65563472465466e-07,0.000357264729947701
"9185","chr2",45930011,45930411,401,"*",6.07905486657326,0,7.07905486657326,-6.12921324504855,1.90604493235493e-07,0.000357264729947701
"13569","chr4",108068519,108068919,401,"*",6.79431184025945,0,7.79431184025945,-6.23688171589053,2.15331615623859e-07,0.000357264729947701
"7896","chr17",76049700,76050100,401,"*",6.06211318242166,0,7.06211318242166,-6.09949574423726,2.19307120212099e-07,0.000357264729947701
"16451","chr6",168447234,168447634,401,"*",6.434231372165,0,7.434231372165,-6.13753010803848,2.61064793087779e-07,0.000357264729947701
"4725","chr12",107662520,107662920,401,"*",6.6031954523538,0,7.6031954523538,-6.15922814221525,2.69980990153977e-07,0.000357264729947701
"2953","chr10",132517264,132517664,401,"*",6.18151244471614,0,7.18151244471614,-6.08267083481134,2.71917214860626e-07,0.000357264729947701
"1357","chr1",184649354,184649754,401,"*",6.14402661618972,0,7.14402661618972,-6.07500860968253,2.72339897153811e-07,0.000357264729947701
"4974","chr13",27415147,27415547,401,"*",6.32053798505814,0,7.32053798505814,-6.09551790349832,2.90776093345727e-07,0.000357264729947701
"15289","chr6",15389800,15390200,401,"*",6.00589817420799,0,7.00589817420799,-6.02704048972255,3.02488454215376e-07,0.000357264729947701
"2528","chr10",73702717,73703117,401,"*",6.50462737393944,0,7.50462737393944,-6.11848633833618,3.0382783277996e-07,0.000357264729947701
"14950","chr5",159545108,159545508,401,"*",5.75802422878672,0,6.75802422878672,-5.95524839600447,3.34428648603789e-07,0.000357264729947701
"2369","chr10",60086884,60087284,401,"*",5.95726054003051,0,6.95726054003051,-5.98693742840138,3.53869982071634e-07,0.000357264729947701
"17214","chr7",124738098,124738498,401,"*",5.56849351773171,0,6.56849351773171,-5.89022137614183,3.76943912783813e-07,0.000357264729947701
"2238","chr10",34780744,34781144,401,"*",6.35758273035602,0,7.35758273035602,-6.04619155604916,3.82207475051341e-07,0.000357264729947701
"13246","chr4",52853351,52853751,401,"*",6.0934965756595,0,7.0934965756595,-5.99853976595389,3.82549425295825e-07,0.000357264729947701
"17197","chr7",119985899,119986299,401,"*",5.92624264528277,0,6.92624264528277,-5.95657360636341,4.00863240437128e-07,0.000357351357793316
"8855","chr2",9330567,9330967,401,"*",6.19581046458522,0,7.19581046458522,-5.98235814794956,4.54646589038212e-07,0.000387675169748583
"4646","chr12",96550558,96550958,401,"*",6.12996649265689,0,7.12996649265689,-5.94674835869541,5.10812621410737e-07,0.00039783211652309
"13669","chr4",129923635,129924035,401,"*",5.78800509691139,0,6.78800509691139,-5.87385567113951,5.31032160961347e-07,0.00039783211652309
"4110","chr12",25128895,25129295,401,"*",5.45518755388657,0,6.45518755388657,-5.79840284809804,5.40023613919101e-07,0.00039783211652309
"10039","chr2",173150014,173150414,401,"*",5.6776075587291,0,6.6776075587291,-5.84208254377396,5.55982374520164e-07,0.00039783211652309
"12015","chr3",61881510,61881910,401,"*",5.6003648226639,0,6.6003648226639,-5.81454962146627,5.88992513933828e-07,0.00039783211652309
"3789","chr11",124064501,124064901,401,"*",5.59882559645239,0,6.59882559645239,-5.80520834877316,6.17327649211957e-07,0.00039783211652309
"723","chr1",98840451,98840851,401,"*",5.59140834860745,0,6.59140834860745,-5.80203072505245,6.22773928400924e-07,0.00039783211652309
"18991","chr9",112036120,112036520,401,"*",5.82038174275606,0,6.82038174275606,-5.84439717877148,6.36983249112247e-07,0.00039783211652309
"2440","chr10",64747117,64747517,401,"*",5.96891467214567,0,6.96891467214567,-5.86302187999823,6.66739765899216e-07,0.00039783211652309
"4531","chr12",88658858,88659258,401,"*",5.60724206761662,0,6.60724206761662,-5.79148932370532,6.69409537286456e-07,0.00039783211652309
"7393","chr17",21310707,21311107,401,"*",5.7499549471493,0,6.7499549471493,-5.79799547789207,7.49994609239245e-07,0.000432614537541179
"11551","chr3",10457545,10457945,401,"*",5.6413248137558,0,6.6413248137558,-5.75494035275432,8.35528026604329e-07,0.000468182161650403
"2388","chr10",61582863,61583263,401,"*",5.69678924206147,0,6.69678924206147,-5.75394839485869,8.86529035769615e-07,0.000473483062432295
"8854","chr2",9271938,9272338,401,"*",5.51862124441429,0,6.51862124441429,-5.7086320446767,9.30958202221523e-07,0.000473483062432295
"14410","chr5",83027251,83027651,401,"*",6.40059328443559,0,7.39778803196285,-5.68728240934569,9.49732362458409e-07,0.000473483062432295
"10117","chr2",187906144,187906544,401,"*",5.63956166371441,0,6.63956166371441,-5.72697958043795,9.59081419246606e-07,0.000473483062432295
"544","chr1",66531018,66531418,401,"*",5.43629954480904,0,6.43629954480904,-5.68415001623551,9.6632732683905e-07,0.000473483062432295
"9832","chr2",147425670,147426070,401,"*",5.40211240283123,0,6.40211240283123,-5.67225919084439,9.89859333974555e-07,0.000473483062432295
"15423","chr6",31516515,31516915,401,"*",5.57186228713163,0,6.57186228713163,-5.70248924736861,1.01398575474997e-06,0.000473483062432295
"16929","chr7",75711821,75712221,401,"*",5.45521631980551,0,6.45521631980551,-5.6702527241321,1.0585081270695e-06,0.000482778171815976
"18208","chr8",124815254,124815654,401,"*",5.78896743378994,0,6.78896743378994,-5.71713752401996,1.1503069339267e-06,0.00050159264817367
"15622","chr6",48101284,48101684,401,"*",5.74217234661781,0,6.74217234661781,-5.70375511280975,1.1783241646583e-06,0.00050159264817367
"19387","chrX",44334853,44335253,401,"*",5.67619334591615,0,6.67619334591615,-5.68607703089585,1.21083717591049e-06,0.00050159264817367
"12691","chr3",172953589,172953989,401,"*",5.37003194696488,0,6.37003194696488,-5.62447494178066,1.22035589672161e-06,0.00050159264817367
"13537","chr4",102596514,102596914,401,"*",5.68387747352741,0,6.68387747352741,-5.68102740756361,1.24869291078666e-06,0.00050159264817367
"5241","chr13",59045057,59045457,401,"*",5.65796333488727,0,6.65796333488727,-5.67550741093627,1.25321434634458e-06,0.00050159264817367
"12625","chr3",160785418,160785818,401,"*",5.28127053494085,0,6.28127053494085,-5.56796721871006,1.47870464953012e-06,0.000580007111731692
"13243","chr4",52303356,52303756,401,"*",5.23334815409269,0,6.23334815409269,-5.54519233368342,1.57727336849153e-06,0.000606538927506978
"4825","chr12",116677275,116677675,401,"*",5.58786567665051,0,6.58786567665051,-5.60654048125966,1.63791848026178e-06,0.000616163693514201
