"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030695","GTPase regulator activity","45/752","491/18737",0.0916496945010183,2.28356426311912,5.89341013848225,2.32240378502195e-07,0.000106249973164754,0.000100230058090421,"CHM/CHN2/ARHGAP35/AGFG1/OPHN1/RASA2/RGS1/ITSN1/DENND2B/VAV1/EVI5/BCAR3/GBF1/ASAP2/ARHGEF2/CYTH3/RGS6/RALGPS1/TBC1D5/TBC1D4/SEC23B/AKAP13/ARHGAP26/SIPA1L3/IQSEC2/RGL1/TBC1D1/RASGRP3/TIAM2/ARHGEF3/ASAP1/RIN2/TBC1D13/FGD6/RALGAPA2/ARHGAP20/SMAP2/KIAA1755/TBCK/FGD5/RASGEF1B/DENND6A/RANBP3L/SPATA13/AGAP5",45
"GO:0060589","nucleoside-triphosphatase regulator activity","45/752","491/18737",0.0916496945010183,2.28356426311912,5.89341013848225,2.32240378502195e-07,0.000106249973164754,0.000100230058090421,"CHM/CHN2/ARHGAP35/AGFG1/OPHN1/RASA2/RGS1/ITSN1/DENND2B/VAV1/EVI5/BCAR3/GBF1/ASAP2/ARHGEF2/CYTH3/RGS6/RALGPS1/TBC1D5/TBC1D4/SEC23B/AKAP13/ARHGAP26/SIPA1L3/IQSEC2/RGL1/TBC1D1/RASGRP3/TIAM2/ARHGEF3/ASAP1/RIN2/TBC1D13/FGD6/RALGAPA2/ARHGAP20/SMAP2/KIAA1755/TBCK/FGD5/RASGEF1B/DENND6A/RANBP3L/SPATA13/AGAP5",45
"GO:0005096","GTPase activator activity","27/752","272/18737",0.0992647058823529,2.4733015879224,5.00487910116396,1.47527784646887e-05,0.00449959743173004,0.00424465906703323,"CHM/CHN2/ARHGAP35/AGFG1/OPHN1/RASA2/RGS1/EVI5/ASAP2/RGS6/TBC1D5/TBC1D4/SEC23B/ARHGAP26/SIPA1L3/TBC1D1/RASGRP3/TIAM2/ASAP1/RIN2/TBC1D13/RALGAPA2/ARHGAP20/SMAP2/TBCK/RANBP3L/AGAP5",27
"GO:0140410","monoatomic cation:bicarbonate symporter activity","5/752","13/18737",0.384615384615385,9.58316284779051,6.33011865091397,0.000101062103264609,0.0187454962093765,0.0176834131627135,"SLC4A8/SLC39A14/SLC39A10/SLC4A10/SLC39A8",5
"GO:0005543","phospholipid binding","38/752","494/18737",0.0769230769230769,1.9166325695581,4.22184969768265,0.000102434405515718,0.0187454962093765,0.0176834131627135,"BIN1/LPAR1/ARHGAP35/HIP1/JCHAIN/KCNJ2/MYO1E/OPHN1/PIK3C2B/PLA2G4A/PLA2G5/RASA2/GBF1/CYTH3/FRMPD4/FCHSD2/UNC13B/FERMT2/ARHGAP26/SNX13/NUP62/WIPI2/SNX5/ARFIP1/PCLO/SNX12/ASAP1/BCAS3/KIF16B/PARD3/SMURF1/WDFY1/SGIP1/SCIN/TIMD4/SPATA18/CLVS1/UNC13C",38
"GO:0015106","bicarbonate transmembrane transporter activity","7/752","32/18737",0.21875,5.45042386968085,5.15216362646643,0.000228053877508105,0.034778216319986,0.0328077507994116,"SLC26A3/SLC4A8/SLC39A14/SLC39A10/SLC4A10/SLC39A8/SLC26A9",7
"GO:0042578","phosphoric ester hydrolase activity","29/752","363/18737",0.0798898071625344,1.99055228298458,3.89691558171971,0.000355551335938917,0.0385938982565812,0.0364072436817907,"DLG1/EDNRA/INPP4A/PDE4D/PDE8A/PDE9A/PTPN4/PTPN14/PTPRA/PTPRG/PTPRJ/PTPRO/FBP2/NT5C2/PLCL2/PLD3/PTPN18/PPA2/PDE7B/PLPPR1/GPCPD1/PPM1H/DUSP21/TNS3/FRA10AC1/PPM1L/GDPD4/PLCXD2/ACP7",29
"GO:1901981","phosphatidylinositol phosphate binding","18/752","181/18737",0.0994475138121547,2.47785647114141,4.08527692678105,0.000370418872180607,0.0385938982565812,0.0364072436817907,"HIP1/KCNJ2/PLA2G4A/GBF1/CYTH3/FRMPD4/FCHSD2/FERMT2/SNX13/WIPI2/SNX5/ARFIP1/SNX12/ASAP1/KIF16B/PARD3/SCIN/CLVS1",18
"GO:0005085","guanyl-nucleotide exchange factor activity","21/752","230/18737",0.091304347826087,2.27495952821462,3.97818011777196,0.000403622869077331,0.0385938982565812,0.0364072436817907,"ITSN1/DENND2B/VAV1/BCAR3/GBF1/ARHGEF2/CYTH3/RALGPS1/AKAP13/IQSEC2/RGL1/RASGRP3/TIAM2/ARHGEF3/RIN2/FGD6/KIAA1755/FGD5/RASGEF1B/DENND6A/SPATA13",21
"GO:0030165","PDZ domain binding","11/752","82/18737",0.134146341463415,3.34242021276596,4.34676583106183,0.000421791237776843,0.0385938982565812,0.0364072436817907,"ACVR2A/ATP2B2/LPAR1/GNG5/GPR37/GRIA1/GRID2/PRKN/CIT/NLGN1/EXOC4",11
"GO:0035254","glutamate receptor binding","8/752","48/18737",0.166666666666667,4.15270390070922,4.47201147074587,0.000589318763331816,0.0490206062226011,0.0462431948260372,"ATP2B2/DLG1/DLG2/PTK2B/GRIA1/HIP1/OPHN1/PTPN4",8
